,count,unique,top,freq,mean,std,min,25%,50%,75%,max
host_since,0.0,,,,,,,,,,
host_response_time,0.0,,,,,,,,,,
host_response_rate,0.0,,,,,,,,,,
host_acceptance_rate,0.0,,,,,,,,,,
host_is_superhost,1831.0,,,,0.6865101037684326,0.46403834373971686,0.0,0.0,1.0,1.0,1.0
host_neighbourhood,0.0,,,,,,,,,,
host_listings_count,1831.0,,,,42.97870016384489,185.20726267390802,1.0,1.0,2.0,9.0,1668.0
host_total_listings_count,0.0,,,,,,,,,,
latitude,1831.0,,,,35.57568980552728,0.05035816071258661,35.42347,35.5552,35.58896,35.60726455,35.65807
longitude,1831.0,,,,-82.55703574011308,0.048647911810356846,-82.66989,-82.58829801151796,-82.55421,-82.519045,-82.46061685
property_type,1831,44,Entire home,748,,,,,,,
room_type,1831,4,Entire home/apt,1658,,,,,,,
accommodates,1831.0,,,,5.067722555980339,3.4487348122101196,1.0,2.0,4.0,6.0,16.0
bathrooms,1831.0,,,,1.7400327689787,1.2629126708629357,0.5,1.0,1.0,2.0,22.0
bedrooms,1831.0,,,,2.2403058438012016,1.6226311744405684,1.0,1.0,2.0,3.0,38.0
beds,1831.0,,,,2.9284543965046423,2.6295533005862617,1.0,1.0,2.0,4.0,50.0
minimum_nights,1831.0,,,,4.892954669579464,11.485629394013745,1.0,1.0,2.0,2.0,180.0
maximum_nights,1831.0,,,,642.2829055161114,461.39682638282585,3.0,365.0,365.0,1125.0,1125.0
availability_30,1831.0,,,,13.09612233752048,9.396810366544958,0.0,5.0,13.0,20.0,30.0
availability_60,1831.0,,,,32.098853085745496,18.052702257367415,0.0,19.0,34.0,47.0,60.0
availability_90,1831.0,,,,53.857454942654286,25.782420788511402,0.0,36.0,58.0,75.0,90.0
availability_365,1831.0,,,,242.65101037684326,102.69805068792104,1.0,169.0,272.0,330.5,365.0
number_of_reviews,1831.0,,,,124.19661387220098,170.4516232172059,0.0,13.0,67.0,160.0,1561.0
review_scores_rating,1831.0,,,,4.895406881485528,0.18368194159597256,1.0,4.87,4.94,4.99,5.0
instant_bookable,0.0,,,,,,,,,,
reviews_per_month,1831.0,,,,2.1613271436373567,1.9301874643576378,0.02,0.81,1.65,3.0,20.77
price,1831.0,,,,288.50347132714364,224.521981372195,13.31,144.5,227.09,355.25,1335.9659999999992
