,count,unique,top,freq,mean,std,min,25%,50%,75%,max
host_since,0.0,,,,,,,,,,
host_response_time,0.0,,,,,,,,,,
host_response_rate,0.0,,,,,,,,,,
host_acceptance_rate,0.0,,,,,,,,,,
host_is_superhost,48402.0,,,,0.29682657741415647,0.4568641731126752,0.0,0.0,0.0,1.0,1.0
host_neighbourhood,0.0,,,,,,,,,,
host_listings_count,48402.0,,,,27.00475186975745,83.31992195495667,0.0,1.0,2.0,10.0,3126.0
host_total_listings_count,0.0,,,,,,,,,,
latitude,48402.0,,,,48.86358849132385,0.017517027331590874,48.816090055186486,48.85114,48.864769686075604,48.876957628333365,48.90159
longitude,48402.0,,,,2.3414335377590554,0.033717886946214554,2.2298957,2.31957,2.345838854305346,2.36462,2.46712
property_type,48402,56,Entire rental unit,40372,,,,,,,
room_type,48402,4,Entire home/apt,43131,,,,,,,
accommodates,48402.0,,,,3.3848394694434116,1.8438595625639427,1.0,2.0,3.0,4.0,16.0
bathrooms,48402.0,,,,1.1984525432833355,0.5638323740654986,0.5,1.0,1.0,1.0,42.0
bedrooms,48402.0,,,,1.4212635841494152,0.8231635950104966,0.0,1.0,1.0,2.0,33.0
beds,48402.0,,,,1.9193421759431428,1.1434669293683848,1.0,1.0,2.0,2.0,32.0
minimum_nights,48402.0,,,,8.19920664435354,26.8419874147364,1.0,1.0,2.0,4.0,365.0
maximum_nights,48402.0,,,,133540.91116069583,16906346.963328775,1.0,45.0,365.0,730.0,2147483647.0
availability_30,48402.0,,,,10.145138630635097,9.579490870624658,0.0,2.0,7.0,17.0,30.0
availability_60,48402.0,,,,28.316846411305317,18.992440933597507,0.0,12.0,27.0,45.0,60.0
availability_90,48402.0,,,,45.9859303334573,28.460515427176503,0.0,21.0,46.0,72.0,90.0
availability_365,48402.0,,,,195.23711830089667,118.40440978262241,1.0,79.0,204.0,305.0,365.0
number_of_reviews,48402.0,,,,39.492686252634186,78.12611919468527,0.0,2.0,13.0,45.0,4589.0
review_scores_rating,48402.0,,,,4.765700384281641,0.3421497255908036,0.0,4.71,4.85,4.95,5.0
instant_bookable,0.0,,,,,,,,,,
reviews_per_month,48402.0,,,,1.2852582537911659,1.4018062032355518,0.01,0.42,0.89,1.58,55.49
price,48402.0,,,,293.1454904756001,289.1628410500125,3.2,131.33,205.5,342.0,1874.979999999996
