,count,unique,top,freq,mean,std,min,25%,50%,75%,max
host_response_time,3447,5,within an hour,2611,,,,,,,
host_response_rate,3447.0,,,,0.9621671018276763,0.14134983926474914,0.0,1.0,1.0,1.0,1.0
host_acceptance_rate,3447.0,,,,0.9112590658543661,0.1932277198743909,0.0,0.93,0.99,1.0,1.0
host_is_superhost,3447.0,,,,0.4424136930664346,0.49674480652264713,0.0,0.0,0.0,1.0,1.0
host_neighbourhood,3447,39,nan,2424,,,,,,,
host_listings_count,3447.0,,,,15.314766463591528,63.93383268510519,1.0,1.0,2.0,7.0,1469.0
host_total_listings_count,3447.0,,,,37.98317377429649,258.3435307254578,1.0,1.0,3.0,10.0,8769.0
latitude,3447.0,,,,55.9496363530582,0.016573077155699254,55.85762397233629,55.94228054177652,55.95082,55.958982388904445,55.99195
longitude,3447.0,,,,-3.199792441512435,0.04111845641842587,-3.43742,-3.2126297,-3.19388,-3.17814,-3.0815406516194344
property_type,3447,46,Entire rental unit,1540,,,,,,,
room_type,3447,4,Entire home/apt,2502,,,,,,,
accommodates,3447.0,,,,3.545691906005222,2.0576819478462203,1.0,2.0,3.0,4.0,16.0
bathrooms,3447.0,,,,1.2976501305483028,0.6476913252711718,0.0,1.0,1.0,1.5,12.0
bedrooms,3447.0,,,,1.6498404409631564,0.9857306672800072,0.0,1.0,1.0,2.0,12.0
beds,3447.0,,,,2.08558166521613,1.5670128071498617,0.0,1.0,2.0,3.0,20.0
minimum_nights,3447.0,,,,2.996518711923412,12.581826872423294,1.0,1.0,2.0,3.0,365.0
maximum_nights,3447.0,,,,352.22338265158106,406.2434455903628,1.0,30.0,365.0,365.0,1125.0
availability_30,3447.0,,,,8.689004931824774,8.444840197916406,0.0,2.0,6.0,13.0,30.0
availability_60,3447.0,,,,23.991006672468814,17.39357591839345,0.0,9.0,22.0,36.0,60.0
availability_90,3447.0,,,,41.59849144183348,26.682448904806364,0.0,19.0,42.0,62.0,90.0
availability_365,3447.0,,,,168.06614447345518,118.15596453678555,0.0,58.0,154.0,281.0,365.0
number_of_reviews,3447.0,,,,113.21758050478677,152.66232886810286,0.0,11.0,53.0,157.0,1541.0
review_scores_rating,3447.0,,,,4.780739773716275,0.2799869481127142,1.0,4.71,4.85,4.94,5.0
instant_bookable,3447.0,,,,0.40992167101827676,0.4918903209912192,0.0,0.0,0.0,1.0,1.0
reviews_per_month,3447.0,,,,2.7019582245430813,2.144329866218129,0.01,1.07,2.2,3.92,34.65
host_months_since,3447.0,,,,106.36002320858718,44.25603569080951,11.0,76.0,117.0,137.0,202.0
price,3447.0,,,,215.47084421235857,217.32291329231302,23.0,110.0,160.0,238.0,1800.0
