,count,unique,top,freq,mean,std,min,25%,50%,75%,max
host_since,0.0,,,,,,,,,,
host_response_time,0.0,,,,,,,,,,
host_response_rate,0.0,,,,,,,,,,
host_acceptance_rate,0.0,,,,,,,,,,
host_is_superhost,3798.0,,,,0.3183254344391785,0.4658878632490197,0.0,0.0,0.0,1.0,1.0
host_neighbourhood,0.0,,,,,,,,,,
host_listings_count,3798.0,,,,19.436545550289626,49.90811205665024,0.0,1.0,2.0,11.0,1020.0
host_total_listings_count,0.0,,,,,,,,,,
latitude,3798.0,,,,45.759503875089266,0.013679121510599352,45.72193,45.751132390498,45.76033745,45.76918936143496,45.8043448
longitude,3798.0,,,,4.84009433740875,0.0206812782483135,4.77384,4.8281725,4.835909932898283,4.8536075,4.8978
property_type,3798,39,Entire rental unit,2869,,,,,,,
room_type,3798,4,Entire home/apt,3145,,,,,,,
accommodates,3798.0,,,,3.2643496577145865,1.8948242537941458,1.0,2.0,2.0,4.0,16.0
bathrooms,3798.0,,,,1.1174302264349658,0.4468383413436091,0.5,1.0,1.0,1.0,12.0
bedrooms,3798.0,,,,1.397577672459189,0.8110472611912722,0.0,1.0,1.0,2.0,18.0
beds,3798.0,,,,1.7619799894681412,1.2186365478191559,1.0,1.0,1.0,2.0,19.0
minimum_nights,3798.0,,,,7.03870458135861,29.803408670873402,1.0,1.0,2.0,2.0,365.0
maximum_nights,3798.0,,,,521.2264349657714,446.7451201020362,1.0,90.0,365.0,1125.0,1125.0
availability_30,3798.0,,,,15.734333859926277,10.24533068572222,0.0,7.0,17.0,25.0,30.0
availability_60,3798.0,,,,36.585571353343866,19.54154350067494,0.0,21.0,41.0,54.0,60.0
availability_90,3798.0,,,,56.57661927330174,28.590398813995044,0.0,34.0,62.5,83.0,90.0
availability_365,3798.0,,,,200.47261716692995,119.23018224521142,0.0,87.0,204.0,319.0,365.0
number_of_reviews,3798.0,,,,72.76961558715114,124.49296842455784,0.0,4.0,23.0,81.0,1263.0
review_scores_rating,3798.0,,,,4.747477619799895,0.3492579271966313,1.0,4.68,4.83,4.93,5.0
instant_bookable,0.0,,,,,,,,,,
reviews_per_month,3798.0,,,,1.8768641390205372,1.9413102607640365,0.01,0.51,1.3,2.56,17.66
price,3798.0,,,,128.62064244339126,90.0464017060869,4.58,74.5,105.0,149.5,568.3699999999999
