,count,unique,top,freq,mean,std,min,25%,50%,75%,max
host_response_time,14317,5,within an hour,10408,,,,,,,
host_response_rate,14317.0,,,,0.9661179017950687,0.13133772178143982,0.0,0.99,1.0,1.0,1.0
host_acceptance_rate,14317.0,,,,0.8921764336103933,0.23607464188586824,0.0,0.93,1.0,1.0,1.0
host_is_superhost,14317.0,,,,0.2874903960326884,0.45260797238287015,0.0,0.0,0.0,1.0,1.0
host_neighbourhood,14317,74,nan,9565,,,,,,,
host_listings_count,14317.0,,,,45.921422085632464,105.4728117207615,1.0,1.0,4.0,34.0,1525.0
host_total_listings_count,14317.0,,,,62.11294265558427,157.67115537205825,1.0,2.0,5.0,44.0,3743.0
latitude,14317.0,,,,45.471787335769655,0.02067118645189468,45.39708,45.4555735,45.47179,45.48677583959323,45.53542
longitude,14317.0,,,,9.18760723288481,0.02924999110458321,9.06686,9.17031,9.1879341,9.209251,9.27367
property_type,14317,45,Entire rental unit,8945,,,,,,,
room_type,14317,4,Entire home/apt,12661,,,,,,,
accommodates,14317.0,,,,3.3547530907312986,1.578822393979333,1.0,2.0,3.0,4.0,16.0
bathrooms,14317.0,,,,1.16400083816442,0.47414472286072806,0.0,1.0,1.0,1.0,21.0
bedrooms,14317.0,,,,1.2254662289585807,0.6812560005309378,0.0,1.0,1.0,1.0,10.0
beds,14317.0,,,,1.8845428511559685,1.1405230259092898,0.0,1.0,2.0,2.0,20.0
minimum_nights,14317.0,,,,7.255081371795767,16.39276848302365,1.0,1.0,2.0,3.0,500.0
maximum_nights,14317.0,,,,368.89634700006985,390.48618921661273,1.0,30.0,365.0,365.0,1125.0
availability_30,14317.0,,,,14.301180414891387,9.914482444576937,0.0,6.0,14.0,23.0,30.0
availability_60,14317.0,,,,34.443877907382834,18.622209405562867,0.0,20.0,36.0,51.0,60.0
availability_90,14317.0,,,,54.907452678633796,26.523464302757844,0.0,37.0,59.0,78.0,90.0
availability_365,14317.0,,,,200.0062163861144,107.90237289545489,0.0,105.0,203.0,291.0,365.0
number_of_reviews,14317.0,,,,43.58070824893483,89.61355439026352,0.0,2.0,11.0,45.0,1357.0
review_scores_rating,14317.0,,,,4.727641964098623,0.3883809279942451,0.0,4.67,4.83,4.95,5.0
instant_bookable,14317.0,,,,0.5397778864287212,0.4984326155103071,0.0,0.0,1.0,1.0,1.0
reviews_per_month,14317.0,,,,1.7348292239994412,1.9016068356471696,0.01,0.45,1.07,2.29,30.53
host_months_since,14317.0,,,,101.58014947265488,48.0095696885158,14.0,53.0,112.0,142.0,206.0
price,14317.0,,,,151.9390933854858,151.87334319369492,8.0,80.0,108.0,160.0,1008.9599999999991
