,count,unique,top,freq,mean,std,min,25%,50%,75%,max
host_response_time,14929,5,within an hour,6951,,,,,,,
host_response_rate,14929.0,,,,0.9112452274097395,0.22730478934168324,0.0,0.97,1.0,1.0,1.0
host_acceptance_rate,14929.0,,,,0.7739319445374775,0.27247773870638425,0.0,0.67,0.88,0.99,1.0
host_is_superhost,14929.0,,,,0.29734074619867373,0.4571030766070478,0.0,0.0,0.0,1.0,1.0
host_neighbourhood,14929,411,nan,3691,,,,,,,
host_listings_count,14929.0,,,,147.61310201621006,705.8802026421556,1.0,1.0,3.0,15.0,5478.0
host_total_listings_count,14929.0,,,,246.58322727577197,1022.2019549017919,1.0,2.0,5.0,22.0,9764.0
latitude,14929.0,,,,40.727619216500685,0.05867000215488801,40.507114,40.68566,40.72788,40.76337,40.912016503779405
longitude,14929.0,,,,-73.94414163514276,0.060209835153498946,-74.251907,-73.98327,-73.9535356,-73.92292,-73.71182221830068
property_type,14929,55,Entire rental unit,6467,,,,,,,
room_type,14929,4,Entire home/apt,8427,,,,,,,
accommodates,14929.0,,,,2.8736017147833075,2.0345107731342202,1.0,2.0,2.0,4.0,16.0
bathrooms,14929.0,,,,1.1980708687788868,0.5476861369160182,0.0,1.0,1.0,1.0,10.5
bedrooms,14929.0,,,,1.3577600643043741,0.9860428555081175,0.0,1.0,1.0,2.0,16.0
beds,14929.0,,,,1.6226137048697167,1.193267937947461,0.0,1.0,1.0,2.0,21.0
minimum_nights,14929.0,,,,26.786455891218434,24.66902456799759,1.0,30.0,30.0,30.0,729.0
maximum_nights,14929.0,,,,459.48288565878494,391.0689580139439,1.0,120.0,365.0,730.0,3000.0
availability_30,14929.0,,,,12.996784781298144,12.77611401562043,0.0,0.0,8.0,28.0,30.0
availability_60,14929.0,,,,32.20376448523009,23.538753006818755,0.0,6.0,31.0,58.0,60.0
availability_90,14929.0,,,,53.62247973742381,32.94367604744954,0.0,25.0,60.0,88.0,90.0
availability_365,14929.0,,,,251.10744189162034,107.09207094917252,0.0,173.0,277.0,347.0,365.0
number_of_reviews,14929.0,,,,36.13825440417978,85.57056260505989,0.0,0.0,5.0,38.0,3736.0
review_scores_rating,14929.0,,,,4.7688786924777276,0.37941163741029765,1.0,4.76,4.86,4.93,5.0
instant_bookable,14929.0,,,,0.24978230290039521,0.43290144034504585,0.0,0.0,0.0,0.0,1.0
reviews_per_month,14929.0,,,,0.9357994507334718,2.039741105065468,0.01,0.26,0.46,0.87,122.76
host_months_since,14929.0,,,,103.20342956661531,46.605116917102485,11.0,60.0,108.0,139.0,216.0
price,14929.0,,,,419.84299015338536,1900.60751996127,10.0,89.0,154.0,278.0,19513.999999999214
