,0
room_type_Entire home/apt,0.052688006
room_type_Private room,0.051834464
bedrooms,0.04529557
bathrooms,0.04424404
instant_bookable,0.030173648
host_response_time_nan,0.030154591
accommodates,0.026355427
host_neighbourhood_South Kensington,0.026267271
host_listings_count,0.025132073
host_total_listings_count,0.025062539
host_neighbourhood_Zona 5,0.020160932
host_months_since,0.019903552
host_neighbourhood_Porta Vittoria,0.019554906
property_type_Entire serviced apartment,0.017817175
host_neighbourhood_Comasina,0.01754857
longitude,0.017068325
number_of_reviews,0.016813498
availability_90,0.015241199
latitude,0.015019263
host_response_rate,0.014653016
reviews_per_month,0.014164121
maximum_nights,0.013913729
host_acceptance_rate,0.013911079
availability_365,0.013287625
availability_60,0.012392458
host_neighbourhood_San Polo,0.012343794
review_scores_rating,0.012180907
host_neighbourhood_Centro Storico,0.012084227
host_response_time_within an hour,0.011793662
host_neighbourhood_Brera,0.011738897
property_type_Entire vacation home,0.011643626
availability_30,0.011572329
property_type_Room in boutique hotel,0.011508602
minimum_nights,0.011269606
property_type_Entire home,0.011235859
host_neighbourhood_Zona 9,0.011133544
property_type_Entire chalet,0.010776069
host_neighbourhood_Centro Direzionale,0.010567955
host_response_time_within a few hours,0.010562192
host_neighbourhood_Zona 2,0.0105121955
host_neighbourhood_Barona,0.010353441
beds,0.010329567
property_type_Entire rental unit,0.010159195
property_type_Room in hotel,0.010098848
host_is_superhost,0.009971439
property_type_Private room in rental unit,0.009716016
property_type_Entire condo,0.009446687
host_response_time_within a day,0.008000199
host_neighbourhood_Zona 8,0.007923686
host_neighbourhood_Chelsea,0.0076507702
host_neighbourhood_Calvairate,0.0076157744
host_neighbourhood_Cerasomma,0.0074357726
property_type_Private room in loft,0.0067832503
host_neighbourhood_Saint-Germain-des-Prés - Odéon,0.0065142163
host_neighbourhood_nan,0.0063802013
host_neighbourhood_Navigli,0.006280148
host_neighbourhood_Zona 7,0.006152268
property_type_Private room in hostel,0.0060639754
host_neighbourhood_Santo Spirito-Catino-San Pio,0.005863077
property_type_Private room in condo,0.0055493065
host_neighbourhood_Zona 3,0.0055297553
property_type_Private room in home,0.0055275033
host_neighbourhood_Chinatown,0.005165058
host_response_time_a few days or more,0.005087869
property_type_Entire place,0.0045076753
host_neighbourhood_Porta Romana,0.0044056466
property_type_Entire loft,0.003485616
room_type_Shared room,0.0031743122
property_type_Private room in vacation home,0.0030293677
property_type_Private room in guest suite,0.0029724056
property_type_Tiny home,0.0029622463
property_type_Shared room in rental unit,0.0028818795
host_neighbourhood_Città Studi,0.002834991
host_neighbourhood_Zona 6,0.0027379873
host_neighbourhood_Lignano Pineta,0.0022256302
property_type_Room in aparthotel,0.0021752613
property_type_Private room in bed and breakfast,0.0017535385
property_type_Private room in guesthouse,0.0014929406
host_neighbourhood_Ponte,0.0014623686
host_neighbourhood_Magneaz,0.0014611528
host_neighbourhood_Antibes,0.0014472081
property_type_Private room in farm stay,0.0011429689
property_type_Private room in casa particular,0.0010908967
host_neighbourhood_Zona 4,0.0008115969
host_neighbourhood_Polanco,0.00071488804
property_type_Casa particular,0.00062021904
property_type_Shipping container,0.0005634898
host_neighbourhood_LB of Haringey,0.00037265322
room_type_Hotel room,0.00022248893
property_type_Private room in townhouse,0.00021050694
property_type_Private room in serviced apartment,6.149428e-05
host_neighbourhood_San Babila,0.0
host_neighbourhood_Santa Croce,0.0
host_neighbourhood_Santa Caterina,0.0
host_neighbourhood_Schöneberg,0.0
host_neighbourhood_Santo Spirito-San Frediano,0.0
host_neighbourhood_Roquebrune-Cap-Martin,0.0
host_neighbourhood_Rincón del Chico,0.0
host_neighbourhood_Randwick,0.0
host_neighbourhood_Pimlico,0.0
host_neighbourhood_Prati,0.0
host_neighbourhood_Ramat Aviv,0.0
host_neighbourhood_Lido,0.0
host_neighbourhood_La Ceiba,0.0
host_neighbourhood_L'Antiga Esquerra de l'Eixample,0.0
host_neighbourhood_Nové Město,0.0
host_neighbourhood_Monti,0.0
host_neighbourhood_Bali,0.0
host_neighbourhood_Affori,0.0
host_neighbourhood_Castello,0.0
host_neighbourhood_Campo di Marte,0.0
host_neighbourhood_Cannaregio,0.0
host_neighbourhood_Cartabubbo,0.0
host_neighbourhood_Chicó Norte III,0.0
host_neighbourhood_Citt,0.0
host_neighbourhood_Dorsoduro/Accademia,0.0
host_neighbourhood_Glòries - El Parc,0.0
host_neighbourhood_Greenwich Village,0.0
host_neighbourhood_Bovisa,0.0
host_neighbourhood_Bruzzano,0.0
host_neighbourhood_Buonarroti,0.0
host_neighbourhood_Beausoleil,0.0
host_neighbourhood_Campo Marzo,0.0
host_neighbourhood_San Marco,0.0
host_neighbourhood_SS.Annuziata,0.0
host_neighbourhood_Saint-Jean-Cap-Ferrat,0.0
host_neighbourhood_Regola,0.0
host_neighbourhood_Riad Laarous,0.0
host_neighbourhood_Trastevere,0.0
host_neighbourhood_South Beach,0.0
host_neighbourhood_Sofia Center,0.0
host_neighbourhood_Trieste,0.0
host_neighbourhood_Soho,0.0
property_type_Camper/RV,0.0
property_type_Lighthouse,0.0
property_type_Private room,0.0
property_type_Entire townhouse,0.0
property_type_Entire villa,0.0
property_type_Entire guest suite,0.0
property_type_Private room in tiny home,0.0
property_type_Private room in minsu,0.0
property_type_Private room in cave,0.0
property_type_Private room in villa,0.0
property_type_Shared room in hostel,0.0
property_type_Shared room in hotel,0.0
property_type_Shared room in condo,0.0
property_type_Shared room in bed and breakfast,0.0
property_type_Room in hostel,0.0
property_type_Shared room in home,0.0
property_type_Shared room in loft,0.0
