,0
room_type_Hotel room,0.3995621
host_response_time_within an hour,0.13419712
host_neighbourhood_Gateway District,0.08400927
host_neighbourhood_Central Business District,0.04855578
host_months_since,0.026840074
host_neighbourhood_Airport North,0.02548231
property_type_Room in hotel,0.022455439
beds,0.02123508
host_neighbourhood_Clearwater Beach,0.018533828
minimum_nights,0.01844532
room_type_Private room,0.01715791
host_listings_count,0.013741188
host_neighbourhood_Hollywood South Central Beach,0.011129746
number_of_reviews,0.010777236
host_neighbourhood_Brush / Stewarts,0.009397577
availability_30,0.00930373
host_total_listings_count,0.009253948
host_response_rate,0.008823557
property_type_Room in boutique hotel,0.0075254003
maximum_nights,0.007232186
longitude,0.0061989953
room_type_Entire home/apt,0.005766197
host_neighbourhood_North Beach,0.0056229285
review_scores_rating,0.005498724
host_neighbourhood_Sturbridge,0.0051834807
host_acceptance_rate,0.0048816013
availability_365,0.0046402053
host_response_time_within a day,0.0043036113
reviews_per_month,0.0040922035
latitude,0.004063402
availability_60,0.003768839
property_type_Tower,0.003721826
host_neighbourhood_Downtown Jersey City,0.0037035977
host_neighbourhood_Southwest Orlando,0.0034633186
availability_90,0.0033063618
accommodates,0.0031049142
bathrooms,0.0023700283
instant_bookable,0.0022153119
property_type_Private room in rental unit,0.001788474
host_neighbourhood_Mid-Beach,0.001564314
host_neighbourhood_Midtown East,0.0014673481
host_neighbourhood_Remsenburg,0.0014153443
host_neighbourhood_nan,0.0011892171
host_neighbourhood_Foxhurst,0.0011702926
property_type_Private room,0.0011335931
bedrooms,0.0010707545
host_neighbourhood_Jumeirah Beach Residence,0.0010544718
host_response_time_nan,0.00095478096
host_response_time_within a few hours,0.0009516155
host_neighbourhood_Upper West Side,0.0009096987
host_is_superhost,0.00067073776
host_neighbourhood_Murray Hill,0.00050649344
property_type_Entire townhouse,0.0003739472
property_type_Private room in resort,0.0003708739
property_type_Entire condo,0.00034706917
host_neighbourhood_Greenpoint,0.00034553773
host_neighbourhood_Eastside Promise Neighborhood,0.00028578495
property_type_Houseboat,0.00027489415
property_type_Shared room in condo,0.00026574152
host_neighbourhood_Glendale,0.0002590363
host_neighbourhood_Midtown,0.0002458049
host_neighbourhood_Boerum Hill,0.00024366738
property_type_Entire loft,0.00024167387
host_neighbourhood_Gramercy Park,0.00020370948
property_type_Entire serviced apartment,0.0001999338
host_neighbourhood_Chelsea,0.00019920306
host_neighbourhood_Ocean Hill,0.00015639173
host_neighbourhood_Gowanus,0.00014597483
property_type_Entire guest suite,0.00012931782
host_neighbourhood_Miami Beach,0.00012011325
host_neighbourhood_West Village,0.00010100328
host_neighbourhood_The Rockaways,7.880488e-05
host_neighbourhood_Santa Monica,0.0
host_neighbourhood_Setagaya District,0.0
host_neighbourhood_Shaw,0.0
host_neighbourhood_Sheepshead Bay,0.0
host_neighbourhood_Sheldon Charter Oak,0.0
host_neighbourhood_Sheridan Hollow,0.0
host_neighbourhood_Shore Acres,0.0
host_neighbourhood_Shoreditch,0.0
host_neighbourhood_Silver Lake,0.0
host_neighbourhood_Singing Hills,0.0
host_neighbourhood_Smallwood,0.0
host_neighbourhood_SoMa,0.0
host_neighbourhood_Soho,0.0
host_neighbourhood_Soundview,0.0
host_neighbourhood_South Beach,0.0
host_neighbourhood_Richmond,0.0
host_neighbourhood_Richmond Hill,0.0
host_neighbourhood_Ridgewood,0.0
host_neighbourhood_Riverdale,0.0
host_neighbourhood_Riverwest,0.0
host_neighbourhood_Rockaway Beach,0.0
host_neighbourhood_Roma Norte,0.0
host_neighbourhood_Seagate,0.0
host_neighbourhood_Suan Luang,0.0
host_neighbourhood_Sunnyside,0.0
host_neighbourhood_Sunset Park,0.0
host_neighbourhood_São Paulo,0.0
host_neighbourhood_Table Rock,0.0
host_neighbourhood_Tenderloin,0.0
host_neighbourhood_The Flats,0.0
host_neighbourhood_The Heights,0.0
host_neighbourhood_Throgs Neck,0.0
property_type_Private room in hostel,0.0
host_neighbourhood_South Ironbound,0.0
host_neighbourhood_South Los Angeles,0.0
host_neighbourhood_Rockaway Park,0.0
host_neighbourhood_South Richmond Hill,0.0
host_neighbourhood_South Side,0.0
host_neighbourhood_South Slope,0.0
host_neighbourhood_Southcrest Park Estates,0.0
host_neighbourhood_Southeast Annadale,0.0
host_neighbourhood_Southeast Magnolia,0.0
host_neighbourhood_Southside,0.0
host_neighbourhood_Southwest Hills,0.0
host_neighbourhood_Spring Creek,0.0
host_neighbourhood_Springfield Gardens,0.0
